Input Data,,,,,,Failure prediction,,
Project Id,total_duration,actual_prize,num_open_tasks,avg_similarity,task_failure_probability,today,tomorrow,day after tomorrow
30038980,5.003472222,1800,20,0.963951592,0.285714286,0.717141991,0.857244887,0.892078746
30038981,5.045138889,2250,26,0.875765539,0.75,0.812113198,0.903327284,0.735130742
30038982,5.95,1500,32,0.871349506,0.75,0.875411929,0.760666784,0.973027648
30038983,2.003472222,450,25,0.834057588,0.95,0.810474191,0.997837161,0.842610179
30038993,9.625,0,23,0.80302043,0.866666667,0.812607573,0.736301049,0.866571135
30038997,6.003472222,2600,23,0.892760782,0.555555556,0.881130068,0.809503611,0.834051891
30039050,6.003472222,0,22,0.727773215,0.8,0.764203908,0.946665672,0.894757473
30039051,5.003472222,2800,23,0.722512223,0.75,0.868420689,0.84074183,0.93994981
30039054,5.003472222,1400,23,0.928735805,0.5,0.849583888,0.877750955,0.740514723
30039055,5.003472222,1400,20,0.823780789,0.666666667,0.860917327,0.614450235,0.797203498
30039057,16.08402778,0,18,0.75096858,0.5,0.896176823,0.900356792,0.786754214
30039058,9.751388889,200,18,0.855883258,0.2,0.772260575,0.865341144,0.940520228
30039082,5.003472222,0,18,0.589776866,0.5,0.613327986,0.882837433,0.87745809
30039083,5.003472222,750,18,0.730800429,0.8,0.961110658,0.906588932,0.841037813
30039085,2.003472222,450,18,0.85164213,0.75,0.941173193,0.805238501,0.837262573
30039086,9.333333333,1500,22,0.650261344,0.333333333,0.850036064,0.810329195,0.807384883
30039087,5.003472222,2100,22,0.751608412,0.333333333,0.815669364,0.926443086,0.854487742
30039088,5.003472222,0,27,0.679413789,0.8125,0.88995826,0.990750466,0.838096422
30039091,6.086805556,0,27,0.853469379,0.666666667,0.749975883,0.797233117,0.870439684
30039092,5.003472222,1200,25,0.876341778,0.884615385,0.920985956,0.857966603,0.833906626
30039093,3.003472222,1000,26,0.878103406,0.75,0.775795959,0.84087118,0.948486768
30039096,5,1400,35,0.79610206,0.24,0.846608734,0.790220055,0.737385579
30039098,5,1400,44,0.656885217,0.842105263,0.951562536,0.848153506,0.78276173
30039099,4.999305556,1600,38,0.827554784,0.75,0.833990167,0.832010188,0.923906453
30039120,5,1400,42,0.731542968,0.916666667,0.656040618,1.021517919,0.818586499
30039121,5,2100,33,0.85795375,0.666666667,0.819216589,0.855110531,0.859307467
30039122,2,440,39,0.84711844,1,0.799598173,0.858634483,0.738448686
30039123,7,1600,67,0.793911526,0.666666667,0.796013976,0.721226275,0.809710358
30039126,7.999305556,2700,36,0.778367012,0.75,0.82785532,0.970209145,0.838457676
30039130,5.003472222,700,25,0.903412362,0.5,0.853969993,0.886319826,0.913452978
30039131,5.003472222,1200,22,0.854616389,0.714285714,0.974125258,0.784271953,0.89312109
30039133,3.003472222,930,27,0.881819561,0.8,0.787007301,0.800795832,0.994986158
30039134,2.003472222,915,25,0.736962188,0.761904762,0.814396635,0.843730322,0.649186671
30039140,5.003472222,1100,19,0.633139179,0.8,1.021604621,0.80348779,0.843866755
